Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Theo Ratliff,LAL,2011, C,854389,38,208.28,106.59412,10,0.2,1.3,0.3,-12,0.087,0.106,0.06,0.145,0.06,57-25,0.695,82
Steve Blake,LAL,2011, PG,4000000,31,190.5,78.017824,79,4,2,2.2,3.6,0.014,0.094,0.115,0.5,0.157,57-25,0.695,82
Trey Johnson,LAL,2011, SG,8967,26,195.58,98.883056,8,4.3,0.9,1.4,-7.8,0.023,0.063,0.21,0.455,0.19,57-25,0.695,82
Shannon Brown,LAL,2011, PG,2149200,25,193.04,95.25432,82,8.7,1.9,1.2,4,0.026,0.083,0.222,0.518,0.107,57-25,0.695,82
Joe Smith,LAL,2011, PF,854389,35,208.28,102.0582,16,0.5,1.3,0.3,-2.7,0.051,0.257,0.139,0.237,0.093,57-25,0.695,82
Andrew Bynum,LAL,2011, C,13700000,23,213.36,129.27372,54,11.3,9.4,1.4,7.1,0.133,0.252,0.18,0.606,0.079,57-25,0.695,82
Devin Ebanks,LAL,2011, SF,473604,21,205.74,97.52228,20,3.1,1.4,0.1,-14.1,0.129,0.102,0.237,0.507,0.033,57-25,0.695,82
Derrick Caracter,LAL,2011, PF,473604,23,205.74,124.7378,41,2,1,0.2,-8.4,0.109,0.122,0.196,0.532,0.054,57-25,0.695,82
Derek Fisher,LAL,2011, PG,3700000,36,185.42,95.25432,82,6.8,1.9,2.7,9.3,0.007,0.067,0.127,0.486,0.134,57-25,0.695,82
Marvin Williams,ATL,2011, PF,7262500,25,205.74,108.86208,65,10.4,4.8,1.4,-1.2,0.044,0.156,0.174,0.551,0.076,44-38,0.537,82
Pape Sy,ATL,2011, SF,473604,23,200.66,102.0582,3,2.3,1,0.7,-25.6,0.105,0.071,0.217,0.478,0.222,44-38,0.537,82
Josh Smith,ATL,2011, PF,11700000,25,205.74,108.86208,77,16.5,8.5,3.3,1.8,0.061,0.233,0.249,0.54,0.168,44-38,0.537,82
Josh Powell,ATL,2011, PF,854389,28,205.74,108.86208,54,4.1,2.5,0.4,-10.6,0.094,0.163,0.2,0.492,0.059,44-38,0.537,82
Kirk Hinrich,ATL,2011, SG,9100000,30,193.04,86.18248,72,10.2,2.5,4,-9.5,0.011,0.09,0.171,0.543,0.221,44-38,0.537,82
Zaza Pachulia,ATL,2011, C,4251250,27,210.82,124.7378,79,4.4,4.2,0.7,-6.1,0.119,0.217,0.144,0.562,0.074,44-38,0.537,82
Damien Wilkins,ATL,2011, SG,482478,31,198.12,102.0582,52,3.5,1.7,0.8,-8.7,0.043,0.122,0.127,0.557,0.099,44-38,0.537,82
Al Horford,ATL,2011, PF,5444857,25,208.28,111.13004,77,15.3,9.3,3.5,0.2,0.081,0.233,0.199,0.587,0.169,44-38,0.537,82
Jamal Crawford,ATL,2011, SG,10800000,31,195.58,90.7184,76,14.2,1.7,3.2,-1.3,0.012,0.057,0.231,0.545,0.178,44-38,0.537,82
Hilton Armstrong,ATL,2011, PF,854389,26,210.82,106.59412,53,1.7,2.5,0.3,-10,0.098,0.215,0.11,0.508,0.046,44-38,0.537,82
Joe Johnson,ATL,2011, G,16324500,30,200.66,108.86208,72,18.2,4,4.7,0.6,0.028,0.108,0.264,0.517,0.23,44-38,0.537,82
Jeff Teague,ATL,2011, PG,1476840,23,187.96,81.64656,70,5.2,1.5,2,-2.7,0.014,0.113,0.199,0.521,0.236,44-38,0.537,82
Jason Collins,ATL,2011, C,854389,32,213.36,115.66596,49,2,2.1,0.4,8,0.064,0.14,0.095,0.539,0.051,44-38,0.537,82
Etan Thomas,ATL,2011, C,854389,33,208.28,117.93392,13,2.5,1.8,0.2,-19.4,0.076,0.262,0.177,0.58,0.05,44-38,0.537,82
Marreese Speights,PHI,2011, F,1773960,23,208.28,115.66596,64,5.4,3.3,0.5,5,0.107,0.226,0.227,0.532,0.069,41-41,0.5,82
Jrue Holiday,PHI,2011, SG,1627920,21,193.04,81.64656,82,14,4,6.5,2.8,0.027,0.105,0.208,0.525,0.282,41-41,0.5,82
Lou Williams,PHI,2011, SG,5000000,24,185.42,79.3786,75,13.7,2,3.4,2.1,0.021,0.077,0.277,0.54,0.248,41-41,0.5,82
Tony Battie,PHI,2011, C,854389,35,210.82,108.86208,38,2.6,2.6,0.3,-4.9,0.047,0.241,0.143,0.489,0.055,41-41,0.5,82
Thaddeus Young,PHI,2011, PF,2901241,23,203.2,99.79024,82,12.7,5.3,1,4.8,0.084,0.152,0.222,0.566,0.067,41-41,0.5,82
Spencer Hawes,PHI,2011, PF,2974320,23,215.9,111.13004,81,7.2,5.7,1.5,-1.5,0.084,0.223,0.19,0.481,0.112,41-41,0.5,82
Darius Songaila,PHI,2011, PF,4818000,33,205.74,112.490816,10,1.6,1,0.2,-14.1,0.029,0.157,0.128,0.477,0.044,41-41,0.5,82
Craig Brackins,PHI,2011, PF,1306920,23,208.28,104.32616,3,2.7,1.3,0.3,-29.2,0.057,0.095,0.22,0.25,0.05,41-41,0.5,82
Andres Nocioni,PHI,2011, SF,6850000,31,200.66,102.0582,54,6.1,3.1,0.8,-6.9,0.024,0.191,0.174,0.538,0.076,41-41,0.5,82
Andre Iguodala,PHI,2011, SG,12345250,27,198.12,93.893544,67,14.1,5.8,6.3,3.4,0.029,0.151,0.192,0.53,0.261,41-41,0.5,82
Jodie Meeks,PHI,2011, G,762195,23,193.04,94.347136,74,10.5,2.3,1.1,2,0.012,0.085,0.157,0.6,0.056,41-41,0.5,82
Jason Kapono,PHI,2011, SG,6641440,30,203.2,97.52228,24,0.7,0.5,0.2,7.6,0.026,0.078,0.114,0.277,0.043,41-41,0.5,82
Elton Brand,PHI,2011, PF,15959099,32,205.74,115.212368,81,15,8.3,1.5,1.4,0.097,0.181,0.197,0.553,0.07,41-41,0.5,82
Evan Turner,PHI,2011, SG,4602720,22,200.66,92.98636,78,7.2,3.9,2,-0.2,0.027,0.17,0.17,0.484,0.137,41-41,0.5,82
Marquis Daniels,BOS,2011, SG,2388000,30,198.12,90.7184,49,5.5,2.3,1.3,1.2,0.034,0.116,0.152,0.527,0.113,56-26,0.683,82
Nenad Krstic,BOS,2011, C,5543116,27,213.36,108.86208,71,8.1,4.7,0.4,1.6,0.097,0.158,0.169,0.557,0.027,56-26,0.683,82
Kevin Garnett,BOS,2011, PF,18832044,35,210.82,114.758776,71,14.9,8.9,2.4,13.1,0.049,0.277,0.221,0.575,0.127,56-26,0.683,82
Von Wafer,BOS,2011, SG,854389,25,195.58,94.800728,58,3.2,0.8,0.6,1.6,0.015,0.086,0.166,0.524,0.111,56-26,0.683,82
Troy Murphy,BOS,2011, PF,216110,31,210.82,111.13004,35,3.1,3.2,0.7,-15.6,0.055,0.236,0.151,0.428,0.088,56-26,0.683,82
Ray Allen,BOS,2011, SG,10000000,35,195.58,92.98636,80,16.5,3.4,2.7,8.1,0.023,0.09,0.198,0.615,0.122,56-26,0.683,82
Rajon Rondo,BOS,2011, PG,9090911,25,185.42,77.564232,68,10.6,4.4,11.2,8.9,0.045,0.096,0.181,0.495,0.448,56-26,0.683,82
Paul Pierce,BOS,2011, SF,13876321,33,200.66,106.59412,80,18.9,5.4,3.3,11.3,0.016,0.161,0.239,0.62,0.152,56-26,0.683,82
Shaquille O'Neal,BOS,2011, C,1352181,39,215.9,147.4174,37,9.2,4.8,0.7,13.2,0.092,0.205,0.2,0.659,0.051,56-26,0.683,82
Sasha Pavlovic,BOS,2011, SG,211084,27,200.66,106.59412,31,2.5,1,0.5,-8.6,0.003,0.102,0.119,0.497,0.072,56-26,0.683,82
Carlos Arroyo,BOS,2011, PG,196007,31,187.96,90.7184,64,4.8,1.6,2,6.2,0.021,0.078,0.141,0.528,0.16,56-26,0.683,82
Avery Bradley,BOS,2011, PG,1418160,20,187.96,81.64656,31,1.7,0.5,0.4,-17.3,0.03,0.092,0.253,0.36,0.135,56-26,0.683,82
Jermaine O'Neal,BOS,2011, C,5765000,32,210.82,115.66596,24,5.4,3.7,0.5,3.9,0.076,0.161,0.176,0.504,0.046,56-26,0.683,82
Jeff Green,BOS,2011, PF,4455988,24,205.74,106.59412,75,13.3,4.8,1.4,1.3,0.037,0.138,0.195,0.538,0.075,56-26,0.683,82
Delonte West,BOS,2011, SG,854389,27,190.5,81.64656,24,5.6,1.5,2.7,-9.2,0.018,0.084,0.174,0.533,0.268,56-26,0.683,82
Glen Davis,BOS,2011, PF,3000004,25,205.74,131.088088,78,11.7,5.4,1.2,3.6,0.057,0.167,0.212,0.499,0.069,56-26,0.683,82
Mario West,NJN,2011, SG,20103,27,195.58,95.25432,6,3.7,1.8,1.7,0,0.018,0.114,0.101,0.474,0.123,24-58,0.293,82
Jordan Farmar,NJN,2011, PG,3750000,24,187.96,81.64656,73,9.6,2.4,5,-7,0.015,0.101,0.212,0.504,0.341,24-58,0.293,82
Johan Petro,NJN,2011, C,3250000,25,213.36,112.037224,77,3.5,2.8,0.6,-6.4,0.083,0.208,0.187,0.452,0.088,24-58,0.293,82
Kris Humphries,NJN,2011, PF,3200000,26,205.74,106.59412,74,10,10.4,1.1,-5.3,0.125,0.322,0.173,0.555,0.069,24-58,0.293,82
Sundiata Gaines,NJN,2011, PG,112088,25,185.42,90.7184,24,4.6,1.6,1.8,-5.2,0.047,0.094,0.222,0.459,0.232,24-58,0.293,82
Stephen Graham,NJN,2011, SF,992680,29,198.12,97.52228,59,3.4,2.1,0.7,-13,0.021,0.134,0.126,0.457,0.066,24-58,0.293,82
Travis Outlaw,NJN,2011, SF,7000000,26,205.74,93.893544,82,9.2,4,1,-8.5,0.027,0.138,0.174,0.469,0.059,24-58,0.293,82
Quinton Ross,NJN,2011, SF,1033342,30,198.12,87.543256,36,1.6,0.8,0.3,5.6,0.033,0.065,0.095,0.437,0.045,24-58,0.293,82
Sasha Vujacic,NJN,2011, SG,5475113,27,200.66,92.98636,67,9.8,2.8,2,-10.1,0.021,0.118,0.195,0.515,0.134,24-58,0.293,82
Damion James,NJN,2011, SF,1156320,23,200.66,99.79024,25,4.4,3.4,0.8,-3.3,0.048,0.211,0.16,0.477,0.082,24-58,0.293,82
Dan Gadzuric,NJN,2011, C,7248325,33,210.82,108.86208,42,2.8,3.2,0.3,-7.7,0.159,0.172,0.161,0.419,0.046,24-58,0.293,82
Brook Lopez,NJN,2011, C,2413320,23,213.36,120.20188,82,20.4,6,1.6,-7,0.078,0.123,0.273,0.549,0.087,24-58,0.293,82
Anthony Morrow,NJN,2011, SG,4000000,25,195.58,95.25432,58,13.2,3,1.2,-4.1,0.023,0.088,0.18,0.573,0.063,24-58,0.293,82
Brandan Wright,NJN,2011, F,3398072,23,208.28,95.25432,37,3.8,2.4,0.3,-7.8,0.09,0.18,0.17,0.54,0.053,24-58,0.293,82
Ben Uzoh,NJN,2011, PG,473604,23,190.5,92.98636,42,3.8,1.5,1.6,-8.7,0.077,0.086,0.206,0.468,0.278,24-58,0.293,82
Deron Williams,NJN,2011, PG,14940153,27,190.5,94.800728,65,20.1,4,10.3,-2.7,0.019,0.107,0.257,0.566,0.448,24-58,0.293,82
Mario Chalmers,MIA,2011, G,854389,25,187.96,86.18248,70,6.4,2.1,2.5,8.8,0.009,0.094,0.15,0.538,0.172,58-24,0.707,82
Mike Miller,MIA,2011, SG,5000000,31,203.2,98.883056,41,5.6,4.5,1.2,-1.5,0.054,0.2,0.143,0.525,0.096,58-24,0.707,82
Mike Bibby,MIA,2011, PG,216110,33,187.96,88.45044,80,8.6,2.4,3.3,3.3,0.009,0.092,0.146,0.57,0.173,58-24,0.707,82
Juwan Howard,MIA,2011, PF,854389,38,205.74,113.398,57,2.4,2.1,0.4,2.6,0.081,0.169,0.133,0.495,0.062,58-24,0.707,82
LeBron James,MIA,2011, SF,14500000,26,203.2,113.398,79,26.7,7.5,7,10.5,0.033,0.184,0.312,0.594,0.343,58-24,0.707,82
Zydrunas Ilgauskas,MIA,2011, C,1352181,36,220.98,117.93392,72,5,4,0.4,9.4,0.119,0.178,0.159,0.531,0.033,58-24,0.707,82
Udonis Haslem,MIA,2011, PF,3500000,31,203.2,106.59412,13,8,8.2,0.5,9.3,0.1,0.253,0.146,0.549,0.029,58-24,0.707,82
Chris Bosh,MIA,2011, PF,14500000,27,210.82,106.59412,77,18.7,8.3,1.9,11.4,0.064,0.199,0.234,0.569,0.086,58-24,0.707,82
Joel Anthony,MIA,2011, PF,3300000,28,205.74,111.13004,75,2,3.5,0.3,7.8,0.091,0.119,0.055,0.583,0.024,58-24,0.707,82
Jamaal Magloire,MIA,2011, C,854389,33,210.82,115.66596,18,1.9,3.4,0.2,7.2,0.131,0.352,0.105,0.585,0.031,58-24,0.707,82
James Jones,MIA,2011, SG,1146337,30,203.2,97.52228,81,5.9,2,0.5,8.6,0.019,0.102,0.122,0.629,0.043,58-24,0.707,82
Jerry Stackhouse,MIA,2011, SF,854389,36,198.12,98.883056,7,1.7,1,0.4,-4.4,0.02,0.15,0.161,0.398,0.1,58-24,0.707,82
Dwyane Wade,MIA,2011, G,14200000,29,193.04,99.79024,76,25.5,6.4,4.6,10.6,0.055,0.143,0.313,0.581,0.223,58-24,0.707,82
Dexter Pittman,MIA,2011, C,473604,23,210.82,139.706336,2,1,1.5,0,39.1,0.143,0.182,0.208,0.333,0,58-24,0.707,82
Eddie House,MIA,2011, SG,1352181,33,185.42,86.18248,56,6.5,1.6,1.1,5.3,0.011,0.096,0.177,0.535,0.104,58-24,0.707,82
Erick Dampier,MIA,2011, C,713666,35,210.82,120.20188,51,2.5,3.5,0.4,6.8,0.083,0.164,0.081,0.591,0.039,58-24,0.707,82
Mehmet Okur,UTA,2011, C,9945000,32,210.82,120.20188,13,4.9,2.3,1.5,-12.8,0.068,0.208,0.214,0.452,0.179,39-43,0.476,82
Marcus Cousin,UTA,2011, C,25000,24,210.82,111.13004,4,1,0.8,0,-48.9,0,0.214,0.092,0.667,0,39-43,0.476,82
Kyrylo Fesenko,UTA,2011, C,1087500,24,215.9,127.00576,53,2,2,0.3,1.6,0.091,0.199,0.145,0.441,0.063,39-43,0.476,82
Kyle Weaver,UTA,2011, SG,854389,25,198.12,91.171992,5,5.6,2,1.4,2.8,0.029,0.14,0.232,0.491,0.212,39-43,0.476,82
Raja Bell,UTA,2011, SG,3000000,34,195.58,93.439952,68,8,2.6,1.7,-5.4,0.017,0.082,0.125,0.528,0.083,39-43,0.476,82
Paul Millsap,UTA,2011, PF,7600000,26,203.2,113.398,76,17.3,7.6,2.5,-0.5,0.075,0.188,0.225,0.578,0.121,39-43,0.476,82
Ronnie Price,UTA,2011, PG,1381250,28,187.96,84.821704,59,3.3,1,0.9,-0.1,0.038,0.07,0.184,0.434,0.123,39-43,0.476,82
Andrei Kirilenko,UTA,2011, SF,17823000,30,205.74,106.59412,64,11.7,5.1,3,-1.1,0.06,0.135,0.178,0.567,0.145,39-43,0.476,82
Al Jefferson,UTA,2011, C,13000000,26,208.28,127.00576,82,18.6,9.7,1.8,-3.2,0.094,0.228,0.242,0.528,0.09,39-43,0.476,82
Jeremy Evans,UTA,2011, F,473604,23,205.74,88.904032,49,3.6,2,0.5,-2.8,0.1,0.163,0.148,0.678,0.09,39-43,0.476,82
Gordon Hayward,UTA,2011, SF,2356320,21,203.2,93.893544,72,5.4,1.9,1.1,-8.1,0.04,0.102,0.153,0.578,0.106,39-43,0.476,82
Earl Watson,UTA,2011, PG,854389,32,185.42,88.45044,80,4.3,2.3,3.5,-0.8,0.04,0.104,0.136,0.5,0.26,39-43,0.476,82
Derrick Favors,UTA,2011, C,4133280,19,208.28,111.583632,78,6.8,5.3,0.5,-7.2,0.128,0.183,0.172,0.542,0.044,39-43,0.476,82
Devin Harris,UTA,2011, G,8981000,28,190.5,86.18248,71,15.2,2.4,7.1,-5,0.009,0.082,0.247,0.545,0.373,39-43,0.476,82
Francisco Elson,UTA,2011, C,854389,35,213.36,108.86208,62,2.2,1.9,0.5,-4.5,0.071,0.179,0.122,0.529,0.09,39-43,0.476,82
Marcus Thornton,SAC,2011, SG,762195,24,193.04,92.98636,73,12.8,3.5,1.8,-3.7,0.039,0.129,0.245,0.525,0.133,24-58,0.293,82
Luther Head,SAC,2011, PG,854389,28,190.5,83.91452,36,5.6,1.7,1.9,-8.1,0.031,0.089,0.167,0.538,0.194,24-58,0.293,82
Omri Casspi,SAC,2011, F,1254480,23,205.74,102.0582,71,8.6,4.3,1,-5,0.049,0.163,0.165,0.517,0.063,24-58,0.293,82
Tyreke Evans,SAC,2011, G,3880920,21,198.12,99.79024,57,17.8,4.8,5.6,-5.5,0.024,0.126,0.255,0.482,0.255,24-58,0.293,82
Pooh Jeter,SAC,2011, PG,473604,27,180.34,79.3786,62,4.1,1.1,2.6,-5.9,0.011,0.08,0.16,0.46,0.281,24-58,0.293,82
Samuel Dalembert,SAC,2011, C,13428129,31,210.82,113.398,80,8.1,8.2,0.8,-4.1,0.124,0.264,0.174,0.509,0.054,24-58,0.293,82
Darnell Jackson,SAC,2011, PF,854389,25,205.74,114.758776,59,3.2,1.6,0.2,-5.8,0.103,0.106,0.175,0.521,0.048,24-58,0.293,82
Beno Udrih,SAC,2011, PG,6478600,28,190.5,92.98636,79,13.7,3.4,4.9,-5.6,0.017,0.097,0.168,0.587,0.219,24-58,0.293,82
Antoine Wright,SAC,2011, SF,854389,27,200.66,97.52228,7,0.3,0.4,0,-19,0.054,0.043,0.138,0.125,0,24-58,0.293,82
DeMarcus Cousins,SAC,2011, C,3374640,20,210.82,122.46984,81,14.1,8.6,2.5,-7.5,0.105,0.247,0.272,0.484,0.149,24-58,0.293,82
Hassan Whiteside,SAC,2011, C,730437,22,213.36,106.59412,1,0,0,0,-144.9,0,0,0,0,0,24-58,0.293,82
Jason Thompson,SAC,2011, PF,2178000,24,210.82,113.398,75,8.8,6.1,1.2,-3.9,0.094,0.205,0.179,0.533,0.078,24-58,0.293,82
Jermaine Taylor,SAC,2011, SG,780871,24,193.04,95.25432,34,6.6,1.8,0.9,-10.1,0.061,0.088,0.226,0.535,0.105,24-58,0.293,82
Donte Greene,SAC,2011, SF,930700,23,210.82,102.511792,69,5.8,2.1,0.7,-3.7,0.047,0.099,0.182,0.482,0.066,24-58,0.293,82
Francisco Garcia,SAC,2011, SG,5500000,29,200.66,88.45044,58,9.7,2.3,1.2,-5.6,0.019,0.093,0.172,0.551,0.079,24-58,0.293,82
Marcus Camby,POR,2011, C,11749832,37,210.82,106.59412,59,4.7,10.3,2.1,2.4,0.136,0.355,0.118,0.426,0.114,48-34,0.585,82
Nicolas Batum,POR,2011, SG,1196760,22,203.2,90.7184,80,12.4,4.5,1.5,0.6,0.05,0.131,0.177,0.563,0.08,48-34,0.585,82
Luke Babbitt,POR,2011, F,1645440,22,205.74,102.0582,24,1.5,1.3,0.3,-11.6,0.041,0.19,0.211,0.305,0.077,48-34,0.585,82
LaMarcus Aldridge,POR,2011, PF,11244000,25,210.82,108.86208,81,21.8,8.8,2.1,4.1,0.103,0.171,0.258,0.549,0.099,48-34,0.585,82
Patty Mills,POR,2011, PG,937195,22,182.88,83.91452,64,5.5,0.8,1.7,-7.4,0.027,0.053,0.24,0.506,0.261,48-34,0.585,82
Wesley Matthews,POR,2011, SG,5765000,24,195.58,99.79024,82,15.9,3.1,2,2.5,0.021,0.095,0.213,0.582,0.101,48-34,0.585,82
Sean Marks,POR,2011, PF,799105,35,208.28,113.398,29,1.6,1.4,0.1,-16.8,0.084,0.146,0.128,0.473,0.033,48-34,0.585,82
Rudy Fernandez,POR,2011, SG,1246680,26,198.12,83.91452,78,8.6,2.2,2.5,1.7,0.024,0.096,0.186,0.522,0.171,48-34,0.585,82
Chris Johnson,POR,2011, C,88363,25,210.82,95.25432,14,2.4,2.3,0.2,-21.3,0.092,0.175,0.129,0.554,0.037,48-34,0.585,82
Andre Miller,POR,2011, PG,7269264,35,187.96,90.7184,81,12.7,3.7,7,4.7,0.044,0.098,0.209,0.529,0.348,48-34,0.585,82
Brandon Roy,POR,2011, SG,13603750,26,198.12,95.707912,47,12.2,2.6,2.7,2.5,0.025,0.093,0.228,0.491,0.168,48-34,0.585,82
Armon Johnson,POR,2011, PG,473604,22,190.5,88.45044,38,2.9,0.9,1.2,-3,0.042,0.109,0.237,0.497,0.3,48-34,0.585,82
Earl Barron,POR,2011, C,11679,29,213.36,113.398,21,3.8,3.6,0.5,-6.8,0.125,0.189,0.186,0.361,0.054,48-34,0.585,82
Gerald Wallace,POR,2011, SF,10500000,28,200.66,99.79024,71,15.7,8,2.4,3,0.049,0.206,0.203,0.548,0.108,48-34,0.585,82
Fabricio Oberto,POR,2011, C,854389,36,208.28,111.13004,5,1.4,1.4,0,-19,0.073,0.098,0.086,0.595,0,48-34,0.585,82
Marcus Banks,TOR,2011, PG,4847586,29,187.96,92.98636,3,2,0.3,1,17.1,0,0.067,0.145,0.543,0.188,22-60,0.268,82
Julian Wright,TOR,2011, SF,2858057,24,203.2,102.0582,52,3.6,2.3,1.1,-1,0.074,0.107,0.131,0.525,0.11,22-60,0.268,82
Jose Calderon,TOR,2011, G,9000000,29,190.5,95.25432,68,9.8,3,8.9,-5.3,0.016,0.1,0.167,0.522,0.412,22-60,0.268,82
Linas Kleiza,TOR,2011, SF,4995000,26,203.2,111.13004,39,11.2,4.5,1,-4.9,0.042,0.163,0.214,0.502,0.06,22-60,0.268,82
Leandro Barbosa,TOR,2011, SG,7100000,28,190.5,91.625584,58,13.3,1.7,2.1,-5.5,0.012,0.073,0.254,0.539,0.147,22-60,0.268,82
Sonny Weems,TOR,2011, SG,854389,24,198.12,92.079176,59,9.2,2.6,1.8,-10.5,0.031,0.1,0.202,0.492,0.12,22-60,0.268,82
Solomon Alabi,TOR,2011, C,670000,23,215.9,113.851592,12,0.5,1.2,0.2,-18,0.109,0.135,0.138,0.189,0.051,22-60,0.268,82
Joey Dorsey,TOR,2011, PF,854389,27,203.2,121.562656,43,3.1,4.4,0.6,-2,0.165,0.266,0.141,0.529,0.078,22-60,0.268,82
Reggie Evans,TOR,2011, C,5080000,31,203.2,111.13004,30,4.4,11.5,1.3,-11,0.178,0.344,0.102,0.466,0.07,22-60,0.268,82
Andrea Bargnani,TOR,2011, C,8500000,25,213.36,113.398,66,21.4,5.2,1.8,-8,0.037,0.141,0.282,0.533,0.086,22-60,0.268,82
Amir Johnson,TOR,2011, F,5000000,24,205.74,95.25432,72,9.6,6.4,1.1,-2.8,0.117,0.179,0.154,0.608,0.064,22-60,0.268,82
Alexis Ajinca,TOR,2011, C,1467840,23,218.44,112.490816,34,4.2,2.3,0.3,-1.4,0.061,0.208,0.212,0.507,0.049,22-60,0.268,82
James Johnson,TOR,2011, PF,1713600,24,205.74,111.13004,38,7.1,3.7,2.3,-3.1,0.056,0.153,0.183,0.505,0.161,22-60,0.268,82
DeMar DeRozan,TOR,2011, SF,2453880,21,200.66,99.79024,82,17.2,3.8,1.8,-7.7,0.03,0.104,0.232,0.53,0.085,22-60,0.268,82
Jerryd Bayless,TOR,2011, G,2292600,22,190.5,90.7184,71,9.2,2.3,3.7,-8.9,0.02,0.11,0.224,0.536,0.294,22-60,0.268,82
Ed Davis,TOR,2011, C,1919160,22,208.28,97.52228,65,7.7,7.1,0.6,-9.8,0.121,0.219,0.134,0.583,0.039,22-60,0.268,82
Marco Belinelli,NOH,2011, SG,2380270,25,195.58,90.7184,80,10.5,1.9,1.2,1.5,0.011,0.086,0.199,0.56,0.077,46-36,0.561,82
Trevor Ariza,NOH,2011, SF,6322320,25,203.2,95.25432,75,11,5.4,2.2,0.6,0.028,0.167,0.177,0.487,0.099,46-36,0.561,82
Willie Green,NOH,2011, SG,3976000,29,190.5,91.171992,77,8.7,2.1,1,0.1,0.016,0.099,0.207,0.515,0.08,46-36,0.561,82
Quincy Pondexter,NOH,2011, F,1073280,23,198.12,102.0582,66,2.8,1.3,0.4,-4.1,0.037,0.104,0.14,0.482,0.064,46-36,0.561,82
Pops Mensah-Bonsu,NOH,2011, PF,885120,27,205.74,106.59412,7,0.3,1.6,0.3,-18.4,0.094,0.333,0.068,0.333,0.08,46-36,0.561,82
Chris Paul,NOH,2011, PG,14940153,26,182.88,79.3786,80,15.9,4.1,9.8,5.2,0.016,0.125,0.21,0.578,0.441,46-36,0.561,82
Carl Landry,NOH,2011, PF,3000000,27,205.74,112.490816,76,11.9,4.6,0.8,-4.5,0.094,0.112,0.207,0.555,0.052,46-36,0.561,82
David West,NOH,2011, F,8287500,30,205.74,108.86208,70,18.9,7.6,2.3,3.3,0.077,0.189,0.259,0.558,0.126,46-36,0.561,82
David Andersen,NOH,2011, C,2500000,31,210.82,112.037224,40,3.4,2.1,0.3,-0.4,0.069,0.213,0.187,0.513,0.054,46-36,0.561,82
Aaron Gray,NOH,2011, C,1028840,26,213.36,122.46984,41,3.1,4.2,0.4,2.2,0.14,0.273,0.132,0.566,0.044,46-36,0.561,82
Jason Smith,NOH,2011, F,2187913,25,213.36,108.86208,77,4.3,3.1,0.5,0.9,0.097,0.164,0.167,0.49,0.055,46-36,0.561,82
Jarrett Jack,NOH,2011, G,4600000,27,190.5,89.357624,83,8.9,2.1,2.9,-5.6,0.014,0.108,0.229,0.503,0.251,46-36,0.561,82
Emeka Okafor,NOH,2011, C,11495000,28,208.28,115.66596,72,10.3,9.5,0.6,3.9,0.121,0.243,0.158,0.584,0.029,46-36,0.561,82
Marcin Gortat,PHX,2011, C,6322320,27,210.82,108.86208,80,10.2,7.9,0.9,1.4,0.085,0.27,0.175,0.594,0.057,40-42,0.488,82
Mickael Pietrus,PHX,2011, SF,5300000,29,198.12,97.52228,57,7.2,2.2,0.6,2,0.016,0.118,0.183,0.526,0.052,40-42,0.488,82
Josh Childress,PHX,2011, F,6500000,28,203.2,94.800728,54,5,2.9,0.8,-5.5,0.09,0.117,0.143,0.567,0.072,40-42,0.488,82
Steve Nash,PHX,2011, PG,10310938,37,190.5,80.739376,75,14.7,3.5,11.4,4.5,0.019,0.099,0.212,0.601,0.498,40-42,0.488,82
Zabian Dowdell,PHX,2011, PG,186656,26,190.5,86.636072,24,5,0.8,2.1,-4.1,0.018,0.061,0.251,0.457,0.295,40-42,0.488,82
Vince Carter,PHX,2011, G,17522375,34,198.12,99.79024,73,14,3.8,2,3.4,0.03,0.123,0.234,0.528,0.116,40-42,0.488,82
Robin Lopez,PHX,2011, C,1867320,23,213.36,115.66596,67,6.4,3.2,0.1,-2,0.094,0.151,0.201,0.539,0.012,40-42,0.488,82
Channing Frye,PHX,2011, F,5200000,28,210.82,111.13004,77,12.7,6.7,1.2,2.3,0.03,0.202,0.169,0.557,0.056,40-42,0.488,82
Aaron Brooks,PHX,2011, G,2016692,26,182.88,73.028312,59,10.7,1.3,3.9,-6.5,0.017,0.053,0.257,0.489,0.289,40-42,0.488,82
Hakim Warrick,PHX,2011, PF,4250000,28,205.74,99.336648,80,8.4,3.7,0.9,-4.1,0.073,0.176,0.209,0.581,0.081,40-42,0.488,82
Jared Dudley,PHX,2011, SF,2151068,25,200.66,102.0582,82,10.6,3.9,1.3,-0.2,0.06,0.111,0.17,0.598,0.078,40-42,0.488,82
Grant Hill,PHX,2011, SF,3240000,38,203.2,102.0582,80,13.2,4.2,2.5,1.5,0.037,0.122,0.201,0.563,0.126,40-42,0.488,82
Garret Siler,PHX,2011, C,473604,24,210.82,138.34556,21,2.1,1.3,0.1,-6.1,0.167,0.15,0.204,0.553,0.041,40-42,0.488,82
Gani Lawal,PHX,2011, PF,473604,22,205.74,106.140528,1,0,0,0,-78.3,0,0,0,0,0,40-42,0.488,82
Manny Harris,CLE,2011, PG,473604,21,195.58,83.91452,54,5.9,2.6,1.6,-12.6,0.042,0.137,0.189,0.486,0.153,19-63,0.232,82
