Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Karl Malone,UTA,2000, PF,14000000,36,205.74,116.119552,82,25.5,9.5,3.7,7.8,0.074,0.251,0.318,0.582,0.197,55-27,0.671,82
Quincy Lewis,UTA,2000, SG,930000,23,200.66,97.52228,74,3.8,1.5,0.5,-5.7,0.059,0.087,0.187,0.441,0.08,55-27,0.671,82
Scott Padgett,UTA,2000, PF,679000,24,205.74,108.86208,47,2.6,1.9,0.5,-3.8,0.068,0.169,0.184,0.395,0.092,55-27,0.671,82
Greg Ostertag,UTA,2000, C,5200000,27,218.44,127.00576,81,4.5,6,0.2,4.6,0.137,0.22,0.125,0.525,0.018,55-27,0.671,82
Bryon Russell,UTA,2000, SF,4000000,29,200.66,102.0582,82,14.1,5.2,1.9,8.9,0.043,0.136,0.184,0.55,0.087,55-27,0.671,82
Jonathan Bender,IND,2000, SF,2214000,19,210.82,91.625584,24,2.7,0.9,0.1,-0.3,0.033,0.126,0.277,0.397,0.036,56-26,0.683,82
Travis Best,IND,2000, PG,3250000,27,180.34,82.553744,82,8.9,1.7,3.3,8.6,0.011,0.084,0.207,0.569,0.285,56-26,0.683,82
Derrick McKey,IND,2000, F,4800000,33,208.28,109.315672,32,4.3,4.2,1.1,6,0.058,0.178,0.115,0.524,0.09,56-26,0.683,82
Dale Davis,IND,2000, PF,4490000,31,210.82,104.32616,74,10,9.9,0.9,4.7,0.138,0.235,0.166,0.537,0.046,56-26,0.683,82
Jeff Foster,IND,2000, PF,857000,23,210.82,107.954896,19,2.3,1.7,0.3,-6.3,0.15,0.247,0.167,0.632,0.088,56-26,0.683,82
Al Harrington,IND,2000, PF,745000,20,205.74,115.212368,50,6.6,3.2,0.8,6,0.066,0.151,0.201,0.524,0.073,56-26,0.683,82
Kenny Anderson,BOS,2000, PG,6680000,29,185.42,76.203456,82,14,2.7,5.1,1.4,0.023,0.079,0.204,0.524,0.253,35-47,0.427,82
Walter McCarty,BOS,2000, PF,2500000,26,208.28,104.32616,61,3.8,1.8,1.1,-4.6,0.042,0.103,0.161,0.451,0.122,35-47,0.427,82
Vitaly Potapenko,BOS,2000, C,3810000,25,208.28,127.00576,79,9.2,6.3,1,-0.4,0.109,0.207,0.202,0.527,0.068,35-47,0.427,82
Paul Pierce,BOS,2000, SF,1503000,22,200.66,99.79024,73,19.5,5.4,3,3.5,0.035,0.142,0.247,0.55,0.142,35-47,0.427,82
Eric Williams,BOS,2000, PF,3336000,27,203.2,99.79024,68,7.2,2.3,1.4,-2.9,0.044,0.089,0.166,0.531,0.105,35-47,0.427,82
