,player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,position,salary
72,Raef LaFrentz,DEN,24.0,210.82,108.86208,81,12.4,7.9,1.2,-2.4,0.075,0.211,0.195,0.512,0.065,2000, C,2777000
73,Quincy Lewis,UTA,23.0,200.66,97.52228,74,3.8,1.5,0.5,-5.7,0.059,0.087,0.187,0.441,0.08,2000, SG,930000
74,Paul Pierce,BOS,22.0,200.66,99.79024,73,19.5,5.4,3.0,3.5,0.035,0.142,0.247,0.55,0.142,2000, SF,1503000
75,Robert Traylor,MIL,23.0,203.2,128.820128,44,3.6,2.6,0.5,-5.2,0.129,0.179,0.173,0.517,0.063,2000, PF,2059000
76,Rodney Rogers,PHX,29.0,200.66,115.66596,82,13.8,5.5,2.1,9.6,0.07,0.146,0.222,0.57,0.128,2000, SF,2000000
77,Shareef Abdur-Rahim,VAN,23.0,205.74,104.32616,82,20.3,10.1,3.3,-5.3,0.081,0.226,0.249,0.547,0.152,2000, PF,9000000
78,Shaquille O'Neal,LAL,28.0,215.9,142.88148,79,29.7,13.6,3.8,11.0,0.1159999999999999,0.246,0.313,0.578,0.184,2000, C,17142000
79,Shandon Anderson,HOU,26.0,198.12,95.25432,82,12.3,4.7,2.9,-2.3,0.039,0.119,0.176,0.5670000000000001,0.139,2000, SF,2000000
80,Sean Rooks,DAL,30.0,208.28,122.46984,71,4.4,3.5,1.0,-3.0,0.088,0.179,0.172,0.48,0.099,2000, C,1920000
81,Scottie Pippen,POR,34.0,200.66,103.418976,82,12.5,6.3,5.0,7.5,0.051,0.162,0.195,0.5329999999999999,0.233,2000, SF,14795000
82,Scott Williams,MIL,32.0,208.28,104.32616,68,7.6,6.6,0.4,0.0,0.138,0.218,0.163,0.539,0.0279999999999999,2000, C,3750000
83,Scott Padgett,UTA,24.0,205.74,108.86208,47,2.6,1.9,0.5,-3.8,0.068,0.1689999999999999,0.184,0.395,0.092,2000, PF,679000
84,Pat Garrity,ORL,23.0,205.74,107.954896,82,8.2,2.6,0.7,-1.7,0.033,0.129,0.205,0.532,0.063,2000, PF,952000
85,Sam Cassell,MIL,30.0,190.5,83.91452,81,18.6,3.7,9.0,2.4,0.0279999999999999,0.091,0.247,0.551,0.3989999999999999,2000, PG,3500000
86,Roshown McLeod,ATL,24.0,203.2,100.243832,44,7.2,3.1,1.2,-8.5,0.052,0.12,0.214,0.4379999999999999,0.102,2000, F,914000
87,Jermaine O'Neal,POR,21.0,210.82,102.511792,70,3.9,3.3,0.3,2.9,0.1369999999999999,0.173,0.1669999999999999,0.515,0.036,2000, C,5075000
88,Jason Williams,SAC,24.0,185.42,86.18248,81,12.3,2.8,7.3,0.4,0.008,0.077,0.1989999999999999,0.477,0.297,2000, PG,1879000
89,Derek Fisher,LAL,25.0,185.42,90.7184,78,6.3,1.8,2.8,13.4,0.013,0.07,0.153,0.449,0.176,2000, PG,3000000
90,Derek Strong,ORL,32.0,205.74,108.86208,20,2.7,2.2,0.2,-8.3,0.076,0.236,0.177,0.499,0.04,2000, F,3159000
91,Derrick Coleman,CHH,33.0,208.28,122.46984,74,16.7,8.5,2.4,1.2,0.061,0.233,0.253,0.541,0.1369999999999999,2000, PF,7370000
92,Derrick McKey,IND,33.0,208.28,109.315672,32,4.3,4.2,1.1,6.0,0.0579999999999999,0.178,0.115,0.524,0.09,2000, F,4800000
93,Devean George,LAL,22.0,203.2,99.79024,49,3.2,1.5,0.2,4.1,0.088,0.135,0.2269999999999999,0.478,0.061,2000, SF,790000
94,Dion Glover,ATL,21.0,195.58,103.418976,30,6.5,1.3,0.9,-13.9,0.037,0.059,0.2239999999999999,0.483,0.108,2000, SG,893000
95,Dirk Nowitzki,DAL,22.0,213.36,107.501304,82,17.5,6.5,2.5,0.5,0.038,0.156,0.212,0.564,0.107,2000, F,1583000
96,Donyell Marshall,GSW,27.0,205.74,104.32616,64,14.2,10.0,2.6,-10.4,0.09,0.231,0.22,0.478,0.1369999999999999,2000, PF,5250000
97,Dell Curry,TOR,36.0,195.58,92.98636,67,7.6,1.5,1.3,-1.3,0.011,0.099,0.207,0.542,0.141,2000, G,2100000
98,Clifford Robinson,PHX,33.0,208.28,102.0582,80,18.5,4.5,2.8,4.6,0.042,0.096,0.2289999999999999,0.564,0.134,2000, PF,6125000
99,Corey Maggette,ORL,20.0,198.12,98.883056,77,8.4,3.9,0.8,-1.6,0.1009999999999999,0.144,0.2239999999999999,0.5529999999999999,0.071,2000, SF,1259000
100,Dale Davis,IND,31.0,210.82,104.32616,74,10.0,9.9,0.9,4.7,0.138,0.235,0.166,0.537,0.046,2000, PF,4490000
101,Damon Stoudamire,POR,26.0,177.8,77.56423199999999,78,12.5,3.1,5.2,7.4,0.031,0.085,0.212,0.508,0.2689999999999999,2000, PG,10125000
102,Elden Campbell,CHH,31.0,213.36,115.66596,78,12.7,7.6,1.7,2.7,0.076,0.187,0.2,0.5,0.087,2000, C,7975000
103,David Wesley,CHH,29.0,185.42,91.625584,82,13.6,2.7,5.6,1.8,0.016,0.073,0.2019999999999999,0.519,0.284,2000, SG,2520000
104,Dean Garrett,MIN,33.0,210.82,113.398,56,2.0,2.5,0.3,3.1,0.077,0.183,0.105,0.477,0.043,2000, C,2520000
105,Eldridge Recasner,CHH,32.0,193.04,86.18248,7,1.0,0.6,0.7,-13.6,0.0,0.118,0.103,0.5,0.278,2000, G,1100000
106,Elton Brand,CHI,21.0,203.2,117.93392,81,20.1,10.0,1.9,-12.8,0.131,0.184,0.2689999999999999,0.528,0.118,2000, PF,3375000
